PUID;Parent;LocalID;TypeGraphics
386;Ids.Position;CompResultForce;ioUiComponent
325;Ids.Position;ButtonZoomInPosRef;ioButtonIcon
326;Ids.Position;ButtonZoomOutPosRef;ioButtonIcon
328;Ids.Position;TextZoomInOutPosRef;ioTextBlock
329;Ids.Position;GridRefPosPanelZoom;ioPanelGrid
330;Ids.Position;ButtonWestPort;ioButtonIcon
331;Ids.Position;ButtonNorthFwd;ioButtonIcon
332;Ids.Position;ButtonSouthBack;ioButtonIcon
333;Ids.Position;ButtonEastStarb;ioButtonIcon
334;Ids.Position;RadioVesselPosRef;ioRadioButton
336;Ids.Position;GridVesselPosRef;ioPanelGrid
335;Ids.Position;DividerVesselPosRef;ioDivider
337;Ids.Position;LabelVesselPosRef;ioLabel
338;Ids.Position;GridSurgePosRefHeader;ioPanelGrid
339;Ids.Position;LabelSurgePosRefHeader;ioLabel
340;Ids.Position;LabelSurgePosRefUnit;ioLabel
341;Ids.Position;GridSurgePosRef;ioPanelGrid
342;Ids.Position;InstrSurgePosRef;ioTextBlock
343;Ids.Position;GridSwayPosRefHeader;ioPanelGrid
344;Ids.Position;LabelSwayPosRefHeader;ioLabel
345;Ids.Position;LabelSwayPosRefUnit;ioLabel
346;Ids.Position;GridSwayPosRef;ioPanelGrid
347;Ids.Position;InstrSwayPosRef;ioTextBlock
387;Ids.Position;LabelGroundPosRef;ioLabel
388;Ids.Position;DividerGroundPosRef;ioDivider
389;Ids.Position;GridNorthPosRefHeader;ioPanelGrid
390;Ids.Position;LabelNorthPosRefHeader;ioLabel
391;Ids.Position;LabelNorthPosRefUnit;ioLabel
392;Ids.Position;GridEastPosRefHeader;ioPanelGrid
393;Ids.Position;LabelEastPosRefHeader;ioLabel
394;Ids.Position;LabelEastPosRefUnit;ioLabel
395;Ids.Position;GridNorthPosRef;ioPanelGrid
396;Ids.Position;InstrNorthPosRef;ioTextBlock
397;Ids.Position;GridEastPosRef;ioPanelGrid
398;Ids.Position;InstrEastPosRef;ioTextBlock
399;Ids.Position;GridGroundPosRef;ioPanelGrid
400;Ids.Position;RadioGroundPosRef;ioRadioButton
401;Ids.Position;LabelEnableSteeringPosRef;ioLabel
402;Ids.Position;DividerEnableSteeringPosRef;ioDivider
403;Ids.Position;ButtonEnableSurgeSteer;ioButtonIcon
404;Ids.Position;ButtonEnableSwaySteer;ioButtonIcon
405;Ids.Position;LabelYawSteeringPosRef;ioLabel
406;Ids.Position;DividerYawSteeringPosRef;ioDivider
407;Ids.Position;ButtonHeadingSteerPosRef;ioButtonIcon
408;Ids.Position;ButtonWindSteerPosRef;ioButtonIcon
409;Ids.Position;ButtonRateOfturnSteerPosRef;ioButtonIcon
410;Ids.Position;ButtSetupPosRef;ioButtonTextFlyout
411;Ids.Position;GridBtwPosIndHeader;ioPanelGrid
412;Ids.Position;LabelBtwPosIndHeader;ioLabel
413;Ids.Position;LabelBtwPosIndHeaderUnit;ioLabel
414;Ids.Position;GridBtwPosIndInstr;ioPanelGrid
415;Ids.Position;InstrBtwPosInstInstr;ioTextBlock
416;Ids.Position;GridHdgPosIndHeader;ioPanelGrid
417;Ids.Position;LabelHdgPosIndHeader;ioLabel
418;Ids.Position;LabelBtwPosIndHeaderUnit;ioLabel
419;Ids.Position;GridHdgPosIndInstr;ioPanelGrid
420;Ids.Position;InstrHdgPosInstInstr;ioTextBlock
421;Ids.Position;GridCogPosIndHeader;ioPanelGrid
422;Ids.Position;LabelCogPosIndHeader;ioLabel
423;Ids.Position;LabelCogPosIndHeaderUnit;ioLabel
424;Ids.Position;GridCogPosIndInstr;ioPanelGrid
425;Ids.Position;InstrCogPosInstInstr;ioTextBlock
430;Ids.Position;InstrStbdPosInstInstr;ioTextBlock
431;Ids.Position;GridDriftPosIndHeader;ioPanelGrid
432;Ids.Position;LabelDriftPosIndHeader;ioLabel
433;Ids.Position;LabelDriftPosIndHeaderUnit;ioLabel
434;Ids.Position;GridDriftPosIndInstr;ioPanelGrid
435;Ids.Position;InstrDriftPosInstInstr;ioTextBlock
441;Ids.Position;GridFwdNorthPosIndHeader;ioPanelGrid
442;Ids.Position;LabelFwdNorthPosIndHeader;ioLabel
443;Ids.Position;LabelFwdNorthPosIndHeaderUnit;ioLabel
444;Ids.Position;GridFwdNorthPosIndInstr;ioPanelGrid
445;Ids.Position;InstrFwdNorthPosInstInstr;ioTextBlock
446;Ids.Position;GridStbdPEastosIndHeader;ioPanelGrid
447;Ids.Position;LabelStbdEastPosIndHeader;ioLabel
448;Ids.Position;LabelStbdEastPosIndHeaderUnit;ioLabel
449;Ids.Position;GridStbdEastPosIndInstr;ioPanelGrid
426;Ids.Target;GridBtwTargIndHeader;ioPanelGrid
427;Ids.Target;LabelBtwTargIndHeader;ioLabel
428;Ids.Target;LabelBtwTargIndHeaderUnit;ioLabel
429;Ids.Target;GridBtwTargIndInstr;ioPanelGrid
436;Ids.Target;InstrBtwTargInstInstr;ioTextBlock
437;Ids.Target;GridCpaTargIndHeader;ioPanelGrid
438;Ids.Target;LabelCpaTargIndHeader;ioLabel
439;Ids.Target;LabelCpaTargIndHeaderUnit;ioLabel
440;Ids.Target;GridCpaTargIndInstr;ioPanelGrid
450;Ids.Target;InstrCpaTargInstInstr;ioTextBlock
451;Ids.Target;GridTcpaTargIndHeader;ioPanelGrid
452;Ids.Target;LabelTcpaTargIndHeader;ioLabel
453;Ids.Target;GridTcpaTargIndInstr;ioPanelGrid
454;Ids.Target;InstrTcpaTargInstInstr;ioTextBlock
455;Ids.Target;GridDptTargHeader;ioPanelGrid
456;Ids.Target;LabelDptTargHeader;ioLabel
