DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
39;Pow.CpA;PowModeShore;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
40;Pow.CpA;PowModeDisconnect;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
41;Pow.CpA;PowModeTransitDay;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
42;Pow.CpA;PowModeTransitNightEngine;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
43;Pow.CpA;PowModeTransitNightSail;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
54;Pow.Out12M;SwitchOnCh1;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
55;Pow.Out12M;SwitchOnCh2;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
56;Pow.Out12M;SwitchOnCh3;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
57;Pow.Out12M;SwitchOnCh4;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
58;Pow.Out12M;SwitchOnCh5;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
59;Pow.Out12M;SwitchOnCh6;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
60;Pow.Out12M;SwitchOnCh7;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
61;Pow.Out12M;SwitchOnCh8;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
62;Pow.Out12M;SwitchOffCh1;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
