DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
10;Batt.Dc12;BattAmpIn;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
11;Batt.Dc12;BattAmpAvg;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
14;Batt.Dc24;BattVolt;Variable;1;NetEthernet.192.168.10.Batt.CerboGx;10;5;NetWiFi.192.168.11.Batt.CerboGx;10
15;Batt.Dc24;BattAmpOut;Variable;1;NetEthernet.192.168.10.Batt.CerboGx;10;5;NetWiFi.192.168.11.Batt.CerboGx;10
16;Batt.Dc24;BattAmpIn;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
17;Batt.Dc24;BattAmpAvg;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
22;Pow.CpM;ActiveStationPow;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
24;Pow.CpM;StationModePow;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
31;Pow.CpM;PowMode;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
35;Pow.CpA;ActiveStationPow;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
37;Pow.CpA;StationModePow;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
44;Pow.CpA;PowMode;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
46;Pow.Out12M;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
47;Pow.Out12M;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
48;Pow.Out12M;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
49;Pow.Out12M;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
50;Pow.Out12M;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
51;Pow.Out12M;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
52;Pow.Out12M;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
53;Pow.Out12M;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
72;Pow.Out12F;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
73;Pow.Out12F;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
74;Pow.Out12F;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
75;Pow.Out12F;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
76;Pow.Out12F;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
77;Pow.Out12F;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
78;Pow.Out12F;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
79;Pow.Out12F;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
98;Pow.Out12A;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
99;Pow.Out12A;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
100;Pow.Out12A;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
101;Pow.Out12A;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
102;Pow.Out12A;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
103;Pow.Out12A;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
104;Pow.Out12A;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
105;Pow.Out12A;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
124;Pow.Out24M;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
125;Pow.Out24M;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
126;Pow.Out24M;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
127;Pow.Out24M;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
128;Pow.Out24M;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
129;Pow.Out24M;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
130;Pow.Out24M;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
131;Pow.Out24M;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
150;Pow.Out24F;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
151;Pow.Out24F;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
152;Pow.Out24F;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
153;Pow.Out24F;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
